"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","20/655","170/18860",0.117647058823529,3.38751683879659,5.93131367195604,1.94772156877241e-06,6.45823467540324e-05,4.54828056087296e-05,"TACC1/RCC1/EML1/CDC20/CCNB1/NUSAP1/CDK1/TPX2/MAD2L1/NEK2/BIRC5/KIF2A/DLGAP5/KIF4A/AURKA/CENPA/PRC1/KIF11/TTK/NDC80",20
"GO:1903035","negative regulation of response to wounding","15/655","101/18860",0.148514851485149,4.27632076184718,6.26219947929495,2.0544376306365e-06,6.76755925386142e-05,4.76612569006281e-05,"SPP1/THBD/ANGPT1/CPB2/MDK/WFDC1/IL33/FAP/SERPING1/DSG2/PLAU/ALOX5/PROS1/CEACAM1/EDN1",15
"GO:0030282","bone mineralization","17/655","128/18860",0.1328125,3.82418893129771,6.08122812600028,2.14785681558796e-06,7.02934957828786e-05,4.95049431453356e-05,"CLEC3B/S1PR1/GPM6B/KL/ADRB2/GREM1/GPC3/FGR/FGFR2/TFAP2A/COL1A2/LGR4/ALOX5/BMP2/PTN/COMP/ADGRG6",17
"GO:0060415","muscle tissue morphogenesis","13/655","77/18860",0.168831168831169,4.861306632299,6.4399398786717,2.25680346650555e-06,7.33825127173418e-05,5.16804162244938e-05,"TGFBR3/ADARB1/S1PR1/TNNC1/HEG1/ENG/COL11A1/FGFR2/MYLK/COL3A1/BMP2/DSP/EDNRA",13
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","31/655","354/18860",0.0875706214689266,2.5214991158839,5.48152873449195,2.4598139490202e-06,7.94709121991141e-05,5.59682364109049e-05,"TEK/PECAM1/CAT/RGCC/SEMA5A/SESN1/RAMP3/TMEM100/PIP5K1B/ENG/ANGPT1/KLF4/GAS6/FERMT2/TPBG/PIK3R1/IL33/RRAS/FGR/CEP55/HBEGF/HYAL2/DCN/F2RL1/NTRK2/PROS1/CEACAM1/EDN1/GDF15/CX3CR1/CHI3L1",31
"GO:0019731","antibacterial humoral response","13/655","78/18860",0.166666666666667,4.79898218829516,6.37717418227956,2.62327974798571e-06,8.42122925468025e-05,5.93074040241892e-05,"PLA2G1B/HLA-E/PGC/SLPI/WFDC2/IGHA1/IGHD/IGHG1/IGHG3/IGHM/IGHA2/DMBT1/MMP7",13
"GO:0051338","regulation of transferase activity","28/655","304/18860",0.0921052631578947,2.65206910405785,5.50817155174036,2.85777540777674e-06,9.06988935707848e-05,6.38756618881968e-05,"LDB2/RASIP1/SASH1/ADARB1/HEG1/EMP2/ANGPT1/GAS6/FGR/CDC20/ECT2/RFC4/TPX2/CDKN1C/MAD2L1/NEDD9/CDKN3/GPRC5A/UBE2C/UBE2S/ZFP36/CEACAM1/DUSP1/SFN/EZH2/CDKN2A/CHI3L1/EEF1A2",28
"GO:0030595","leukocyte chemotaxis","24/655","237/18860",0.10126582278481,2.91583727896415,5.62979537117652,2.86133414241166e-06,9.06988935707848e-05,6.38756618881968e-05,"EDNRB/VEGFD/S1PR1/SLIT2/MIF/MDK/GREM1/GAS6/SFTPD/PLA2G1B/STK39/C5AR1/NEDD9/ALOX5/PTN/F2RL1/CXCL13/CXCL3/CXCL12/EDN1/PERP/DUSP1/CX3CR1/IL6",24
"GO:0007229","integrin-mediated signaling pathway","16/655","117/18860",0.136752136752137,3.93762641090885,6.04581120254941,2.88785622473675e-06,9.09674710792076e-05,6.40648104592916e-05,"LIMS2/EMP2/PLPP3/FERMT2/DST/FGR/TIMP1/ADAMTS1/ITGA8/COL3A1/NEDD9/PLAU/PTN/CEACAM1/TYROBP/CCN2",16
"GO:0042063","gliogenesis","31/655","357/18860",0.0868347338935574,2.5003100476832,5.42848559892885,2.93114577322514e-06,9.17576068140045e-05,6.4621271966755e-05,"AGER/TAL1/GPM6B/LEPR/PTPRB/QKI/MDK/ID4/PLPP3/SOX4/IL33/RRAS/TNFRSF21/CLU/LDLR/WASF3/COL3A1/CDK1/C5AR1/ZEB2/MYRF/BMP2/SLC7A5/PTN/NTRK2/VCAN/EZH2/MATN2/CX3CR1/ADGRG6/IL6",31
"GO:0055001","muscle cell development","22/655","206/18860",0.106796116504854,3.07507596531535,5.68023446723289,3.09502328612515e-06,9.62896133461156e-05,6.78129858402468e-05,"RAMP2/CAV2/ENG/TBX3/MYH11/MEIS1/LMOD1/MYH10/CACNA2D2/CAPN3/ATP2A2/CCNB1/NEBL/FHL2/RCAN1/MYL9/CDK1/EDN1/KRT19/DMD/COMP/EDNRA",22
"GO:0098813","nuclear chromosome segregation","29/655","323/18860",0.0897832817337461,2.58521021908161,5.45070952015447,3.16912559515883e-06,9.79901411018435e-05,6.90106006256091e-05,"RCC1/TOP2A/ZWINT/CDC20/CCNB1/NUSAP1/ECT2/CENPF/CCNB2/CDK1/TPX2/ASPM/MAD2L1/NEK2/KAT2B/BIRC5/KIF2A/BUB1B/UBE2C/DLGAP5/KIF4A/AURKA/PRC1/KIF11/BUB1/TTK/DUSP1/NDC80/TRIP13",29
"GO:0030071","regulation of mitotic metaphase/anaphase transition","14/655","92/18860",0.152173913043478,4.38167938931298,6.16739814007355,3.33796473317809e-06,0.000102150663682036,7.19406929690531e-05,"ZWINT/CDC20/CCNB1/CENPF/MAD2L1/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0050680","negative regulation of epithelial cell proliferation","20/655","176/18860",0.113636363636364,3.27203331020125,5.74408340729242,3.34421815625714e-06,0.000102150663682036,7.19406929690531e-05,"TGFBR3/CAV1/MMRN2/LIMS2/RGCC/CAV2/ENG/GATA6/SULF1/GPC3/FGFR2/KLF9/CDKN1C/PTCH1/EFNB2/ALOX5/COL4A3/CEACAM1/SFN/CDKN2A",20
"GO:0007266","Rho protein signal transduction","18/655","147/18860",0.122448979591837,3.52578283221686,5.83132979854489,3.55590316313702e-06,0.000107962361097654,7.60336427780472e-05,"TEK/PECAM1/STARD13/AGTR1/RASIP1/ARHGAP6/HEG1/ARRB1/DLC1/CTNNAL1/KANK2/FERMT2/COL3A1/DOCK9/NET1/COL1A2/F2RL1/ARHGAP29",18
"GO:2000352","negative regulation of endothelial cell apoptotic process","9/655","37/18860",0.243243243243243,7.00391995048484,6.93387443437915,3.61857798840737e-06,0.000109207383602234,7.69104631384156e-05,"CDH5/TEK/RAMP2/SEMA5A/GATA2/ANGPT1/GAS6/NDNF/ID1",9
"GO:0030856","regulation of epithelial cell differentiation","20/655","177/18860",0.112994350282486,3.25354724630181,5.71366314499785,3.65008410284367e-06,0.00010950252308531,7.7118318263088e-05,"CDH5/CLDN5/CAV1/TMEM100/TBX3/CDKN1C/ZBED2/DSG2/PTCH1/ZEB2/CD24/WWTR1/APOLD1/MMP9/BMP2/ZFP36/CEACAM1/SFN/EZH2/MAFF",20
"GO:0070293","renal absorption","10/655","47/18860",0.212765957446809,6.12636024037681,6.67442199203716,3.86013541070205e-06,0.000115118831183067,8.10736630637641e-05,"EDNRB/HBB/GAS6/HYAL2/STK39/CLDN4/AQP1/SLC15A2/EDN1/EDNRA",10
"GO:0007179","transforming growth factor beta receptor signaling pathway","25/655","258/18860",0.0968992248062016,2.79010592342742,5.49153051516074,3.95264100242843e-06,0.00011718418030729,8.25282071838307e-05,"CDH5/TGFBR3/CLDN5/RGCC/CAV2/LRRC32/ENG/TGFBR2/SMAD6/GDF10/FERMT2/LTBP4/CDH3/ITGA8/COL3A1/CDKN1C/COL1A2/ZEB2/BMP2/DKK3/ID1/GDF15/FOLR1/HPGD/FOS",25
"GO:0044344","cellular response to fibroblast growth factor stimulus","16/655","120/18860",0.133333333333333,3.83918575063613,5.91812692368919,4.04427812475579e-06,0.000118215871409883,8.32547866320226e-05,"FGFR4/TBX2/KL/SULF1/HYAL1/FGFR2/HYAL2/COL1A1/NDNF/FLRT3/ZFP36/CXCL13/POSTN/NR4A1/GCLC/CCN2",16
"GO:1990748","cellular detoxification","16/655","120/18860",0.133333333333333,3.83918575063613,5.91812692368919,4.04427812475579e-06,0.000118215871409883,8.32547866320226e-05,"CD36/DUOX1/CAT/GPX3/SESN1/FBLN5/HBB/HBA1/HBA2/PRDX4/SLC39A8/CP/ALDH2/ALDH1A1/NQO1/ALOX5AP",16
"GO:0045916","negative regulation of complement activation","6/655","14/18860",0.428571428571429,12.340239912759,8.05121280104149,4.0578066972043e-06,0.000118215871409883,8.32547866320226e-05,"A2M/VSIG4/CLU/SERPING1/C4BPA/CD55",6
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","28/655","311/18860",0.090032154340836,2.59237623033308,5.37093960296013,4.43212530669567e-06,0.000128378801987047,9.04121387427574e-05,"TEK/PECAM1/CAT/SEMA5A/SESN1/RAMP3/TMEM100/PIP5K1B/ENG/ANGPT1/KLF4/GAS6/FERMT2/TPBG/IL33/RRAS/FGR/CEP55/HBEGF/HYAL2/DCN/F2RL1/NTRK2/PROS1/CEACAM1/GDF15/CX3CR1/CHI3L1",28
"GO:0030193","regulation of blood coagulation","12/655","70/18860",0.171428571428571,4.9360959651036,6.25800559223896,4.68341958101814e-06,0.000134882483933323,9.49924260282297e-05,"CD36/CAV1/THBD/ANGPT1/CPB2/FAP/SERPING1/PLAU/F2RL1/PROS1/CEACAM1/EDN1",12
"GO:0032970","regulation of actin filament-based process","33/655","402/18860",0.082089552238806,2.36367779423493,5.24224257153952,4.75513115571433e-06,0.000136169664913638,9.58989369441908e-05,"FAM107A/CAV1/S1PR1/GPM6B/SLIT2/ARHGAP6/RGCC/SEMA5A/TNNC1/SPTBN1/KANK3/DLC1/KANK2/LIMCH1/SYNPO/LMOD1/FERMT2/GMFG/PIK3R1/ATP2A2/CYRIA/ECT2/ARHGAP44/WASF3/PTGER4/DSG2/NEDD9/ZEB2/F2RL1/CXCL12/EDN1/DSP/CCN2",33
"GO:0002697","regulation of immune effector process","34/655","421/18860",0.0807600950118765,2.32539754492212,5.21678773532439,4.87732564331654e-06,0.00013887978103003,9.7807565086312e-05,"CD36/AGER/FOXF1/FCN3/MIF/GATA2/ANGPT1/DNASE1L3/A2M/INAVA/IL33/HLA-E/FGR/HLX/PGC/VSIG4/CLU/SERPING1/GPI/IL7R/RBP4/SLC7A5/ACP5/F2RL1/HSPD1/CEACAM1/CADM1/C4BPA/IRAK3/TYROBP/NR4A3/CX3CR1/CD55/IL6",34
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","14/655","95/18860",0.147368421052632,4.24331056649257,6.01119330275411,4.920320849743e-06,0.000139316949902835,9.81154459215457e-05,"ZWINT/CDC20/CCNB1/CENPF/MAD2L1/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0061005","cell differentiation involved in kidney development","11/655","59/18860",0.186440677966102,5.36835295639798,6.37437913994809,5.0003456235723e-06,0.000140791854429075,9.91541631442858e-05,"EDNRB/TCF21/CD34/GREM1/PODXL/PTCH1/CD24/WWTR1/MMP9/EDN1/EDNRA",11
"GO:0072009","nephron epithelium development","16/655","122/18860",0.131147540983607,3.77624827931423,5.83527380551398,5.0301783186978e-06,0.000140844992923538,9.91915864950233e-05,"EDNRB/TCF21/PECAM1/CD34/GREM1/GPC3/PODXL/PTCH1/AGTR2/LGR4/AQP1/CD24/WWTR1/BMP2/EDN1/EDNRA",16
"GO:0098754","detoxification","19/655","166/18860",0.114457831325301,3.29568656304608,5.63508090436042,5.26223970440646e-06,0.000146528663592312,0.000103194372103859,"CD36/DUOX1/CAT/GPX3/SESN1/FBLN5/HBB/HBA1/HBA2/MT1M/PRDX4/SLC39A8/CP/ALDH2/ALDH1A1/SLC15A2/ABCG1/NQO1/ALOX5AP",19
"GO:0048638","regulation of developmental growth","29/655","332/18860",0.0873493975903614,2.51512921916674,5.28310306368275,5.43522826854601e-06,0.000149563339046851,0.000105331574616955,"SPP1/TGFBR3/ACACB/TBX2/SEMA5A/MACF1/GATA6/ADRB2/GHR/WWC2/TRPV2/SEMA3G/NEDD4L/CACNA2D2/CAPN3/HLX/FGFR2/CCNB1/CDH1/SLC6A4/CDK1/PTCH1/SOCS2/CRABP2/RBP4/CXCL12/EDN1/GDF15/AGR2",29
"GO:0030199","collagen fibril organization","12/655","71/18860",0.169014084507042,4.86657348672186,6.19139124052247,5.46024888583741e-06,0.000149563339046851,0.000105331574616955,"TNXB/GREM1/COL11A1/PLOD2/COL1A1/COL3A1/MMP11/COL1A2/COL5A2/DPT/COL5A1/COMP",12
"GO:0070301","cellular response to hydrogen peroxide","12/655","71/18860",0.169014084507042,4.86657348672186,6.19139124052247,5.46024888583741e-06,0.000149563339046851,0.000105331574616955,"CAT/KLF2/KLF4/ECT2/CDK1/NET1/AQP1/EDN1/EZH2/CDKN2A/IL6/LCN2",12
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","14/655","96/18860",0.145833333333333,4.19910941475827,5.9605541381899,5.57932362480825e-06,0.000151998870643425,0.000107046823686222,"ZWINT/CDC20/CCNB1/CENPF/MAD2L1/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0002687","positive regulation of leukocyte migration","18/655","152/18860",0.118421052631579,3.40980313378867,5.65814817834767,5.73440847553048e-06,0.000155091141029832,0.000109224588043566,"AGER/JAM2/VEGFD/LYVE1/MDK/GAS6/PIK3R1/STK39/C5AR1/NEDD9/PTN/F2RL1/CXCL13/CXCL12/EDN1/PERP/CX3CR1/IL6",18
"GO:0060443","mammary gland morphogenesis","10/655","49/18860",0.204081632653061,5.87630472036143,6.48287389503132,5.75437368503544e-06,0.000155091141029832,0.000109224588043566,"CAV1/TBX2/TBX3/SOSTDC1/TGFBR2/FGFR2/PTCH1/ELF3/PERP/CDKN2A",10
"GO:0002690","positive regulation of leukocyte chemotaxis","14/655","97/18860",0.144329896907216,4.15581962697726,5.91059958983123,6.31550538023373e-06,0.000168390067318165,0.000118590498537354,"VEGFD/MDK/GAS6/STK39/C5AR1/NEDD9/PTN/F2RL1/CXCL13/CXCL12/EDN1/PERP/CX3CR1/IL6",14
"GO:0003208","cardiac ventricle morphogenesis","12/655","72/18860",0.166666666666667,4.79898218829516,6.12601235592763,6.34803825207367e-06,0.000168390067318165,0.000118590498537354,"FOXF1/TGFBR3/TNNC1/HEG1/ENG/TGFBR2/COL11A1/SOX4/FGFR2/HEY1/DSP/EDNRA",12
"GO:0022617","extracellular matrix disassembly","12/655","72/18860",0.166666666666667,4.79898218829516,6.12601235592763,6.34803825207367e-06,0.000168390067318165,0.000118590498537354,"FGFR4/ENG/RECK/FAP/MMP12/TIMP3/MMP11/MMP1/MMP9/TPSAB1/MMP7/IL6",12
"GO:0048644","muscle organ morphogenesis","13/655","85/18860",0.152941176470588,4.40377189043556,5.96574349054753,7.03438762874954e-06,0.000185619443187946,0.000130724470014568,"TGFBR3/ADARB1/S1PR1/TNNC1/HEG1/ENG/COL11A1/FGFR2/MYLK/COL3A1/BMP2/DSP/EDNRA",13
"GO:0045446","endothelial cell differentiation","16/655","126/18860",0.126984126984127,3.65636738155822,5.67469849759331,7.66953536456246e-06,0.000201325303319765,0.000141785489305398,"EDNRB/CDH5/PECAM1/CLDN5/S1PR1/TIE1/HEG1/TMEM100/DSG2/CLDN3/HEY1/APOLD1/F2RL1/CEACAM1/ID1/EDNRA",16
"GO:0001659","temperature homeostasis","20/655","186/18860",0.10752688172043,3.09611754083559,5.44926672435482,7.77810147370206e-06,0.000203117261282168,0.000143047494787692,"CD36/EDNRB/FABP4/ACADL/EPAS1/CAV1/LEPR/QKI/ADRB2/TRPV2/ZNF423/NPR3/LAMA4/FABP5/LGR4/ALDH1A1/ID1/NMU/EGR1/LCN2",20
"GO:0002237","response to molecule of bacterial origin","31/655","375/18860",0.0826666666666667,2.3802951653944,5.1210912204366,7.99311475295412e-06,0.000207656177087056,0.000146244074590132,"CD36/EDNRB/SASH1/MIF/THBD/SMAD6/INAVA/FGFR2/PLSCR4/C5AR1/EFNB2/CD24/MRC1/SLPI/MMP9/SLC7A5/ACP5/ZFP36/CXCL13/EDN1/NQO1/IRAK3/NR4A1/SCGB1A1/CX3CR1/HPGD/CXCL2/CD55/FOS/IL6/LCN2",31
"GO:0044784","metaphase/anaphase transition of cell cycle","14/655","99/18860",0.141414141414141,4.07186367491711,5.81267689187235,8.05088348150341e-06,0.000208084373060396,0.000146545636165341,"ZWINT/CDC20/CCNB1/CENPF/MAD2L1/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0032355","response to estradiol","15/655","113/18860",0.132743362831858,3.82219820306695,5.70749423732592,8.50821333036138e-06,0.000218782628495007,0.000154079996509015,"CAT/CRYAB/RAMP3/GHR/COL1A1/SRD5A1/SLC6A4/PTCH1/SOCS2/GPI/POSTN/DUSP1/EZH2/HPGD/IGFBP2",15
"GO:0001558","regulation of cell growth","33/655","414/18860",0.0797101449275362,2.29516539440204,5.05427582704507,8.82793326849536e-06,0.000225197469498796,0.000158597716614441,"FAM107A/NPR1/SPP1/FHL1/AGTR1/SLIT2/SEMA5A/CRYAB/SESN1/MACF1/ENO1/TRPV2/WFDC1/SEMA3G/HYAL1/NEDD4L/LTBP4/H3-3B/HBEGF/HYAL2/IGFBP3/CDH1/NET1/AGTR2/SOCS2/CRABP2/CEACAM1/CXCL12/EDN1/SFN/FBP1/CDKN2A/TNC",33
"GO:0048660","regulation of smooth muscle cell proliferation","19/655","172/18860",0.11046511627907,3.18072075270726,5.44963613391907,8.84704344459558e-06,0.000225197469498796,0.000158597716614441,"NPR1/S1PR1/RGCC/KLF4/PIK3R1/CALCRL/HBEGF/FGFR2/ADAMTS1/IGFBP3/CNN1/OGN/MMP9/BMP2/RGS5/EDN1/NR4A3/HPGD/IL6",19
"GO:0042742","defense response to bacterium","30/655","361/18860",0.0831024930747922,2.3928443044131,5.06835102826453,1.00780901343704e-05,0.000252883802791569,0.000178096111740429,"CD36/MMRN2/SFTPD/PLA2G1B/IL33/HLA-E/FGR/PGC/COLEC12/C5AR1/AQP1/IL7R/SLC15A2/SLPI/ACP5/F2RL1/CXCL13/ANXA3/SFN/WFDC2/IGHA1/IGHD/IGHG1/IGHG3/IGHM/IGHA2/DMBT1/MMP7/IL6/LCN2",30
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","10/655","52/18860",0.192307692307692,5.53728714034058,6.21457261074951,1.00852468970447e-05,0.000252883802791569,0.000178096111740429,"CLU/C7/C4BPA/IGHA1/IGHD/IGHG1/IGHG3/IGHA2/CD55/C1QB",10
"GO:0043114","regulation of vascular permeability","10/655","52/18860",0.192307692307692,5.53728714034058,6.21457261074951,1.00852468970447e-05,0.000252883802791569,0.000178096111740429,"CDH5/NPR1/TEK/RAMP2/CLDN5/SLIT2/ANGPT1/FERMT2/ZEB2/CEACAM1",10
"GO:0043410","positive regulation of MAPK cascade","36/655","474/18860",0.0759493670886076,2.18687795922311,4.96405113409622,1.01863294572965e-05,0.000254153962696903,0.000178990635383032,"CD36/AGER/TEK/PECAM1/SASH1/JCAD/FGFR4/RAMP3/CAV2/MIF/ARRB1/KL/ANGPT1/ADRB2/GHR/GAS6/FERMT2/TPBG/INAVA/MARCO/PLA2G1B/FGFR2/IGFBP3/STK39/C5AR1/BMP2/F2RL1/NTRK2/GADD45B/EDN1/EZH2/GDF15/GPR37/CHI3L1/CCN2/IL6",36
"GO:0048639","positive regulation of developmental growth","19/655","174/18860",0.109195402298851,3.14416074405545,5.38962353826791,1.04588022442382e-05,0.000259666814339707,0.000182873119873328,"TGFBR3/ACACB/TBX2/SEMA5A/MACF1/GATA6/GHR/TRPV2/NEDD4L/CACNA2D2/CAPN3/HLX/FGFR2/CCNB1/CDK1/CRABP2/CXCL12/EDN1/AGR2",19
"GO:0050818","regulation of coagulation","12/655","76/18860",0.157894736842105,4.54640417838489,5.87605192608479,1.1293766155155e-05,0.000278358394387807,0.00019603686421798,"CD36/CAV1/THBD/ANGPT1/CPB2/FAP/SERPING1/PLAU/F2RL1/PROS1/CEACAM1/EDN1",12
"GO:0030900","forebrain development","33/655","419/18860",0.0787589498806683,2.26777678587695,4.97785465020352,1.13221172320438e-05,0.000278358394387807,0.00019603686421798,"TACC1/SLIT2/SEMA5A/FEZ1/GATA2/DLC1/TBX3/MDK/SEMA3G/ID4/CRTAC1/MYH10/FGFR2/HPRT1/CDH1/SRD5A1/COL3A1/ASPM/NDNF/SLC2A1/ZEB2/AQP1/NRGN/BMP2/NTRK2/PCDH9/CXCL12/EZH2/TYROBP/NR4A3/SLC7A11/NR4A2/FOS",33
"GO:0032963","collagen metabolic process","15/655","116/18860",0.129310344827586,3.72334824953935,5.58066143777691,1.17553582392409e-05,0.000287606822940652,0.000202550168537151,"TNXB/RGCC/MFAP4/P3H2/FAP/MMP12/COL1A1/MMP11/COL1A2/MMP1/MMP9/COL5A1/ID1/MMP7/IL6",15
"GO:1900047","negative regulation of hemostasis","10/655","53/18860",0.188679245283019,5.43281002448509,6.1297382584408,1.20479823990343e-05,0.0002933421801504,0.000206589354943013,"THBD/ANGPT1/CPB2/FAP/SERPING1/PLAU/PROS1/CEACAM1/EDN1/COMP",10
"GO:0048659","smooth muscle cell proliferation","19/655","176/18860",0.107954545454545,3.10843164469119,5.33047080397257,1.23297517191855e-05,0.000298759368580264,0.000210404467596627,"NPR1/S1PR1/RGCC/KLF4/PIK3R1/CALCRL/HBEGF/FGFR2/ADAMTS1/IGFBP3/CNN1/OGN/MMP9/BMP2/RGS5/EDN1/NR4A3/HPGD/IL6",19
"GO:0018958","phenol-containing compound metabolic process","15/655","117/18860",0.128205128205128,3.69152476022705,5.53931925683,1.30594026531387e-05,0.000314184761438162,0.000221267964822365,"NPR1/DUOX1/EPAS1/KL/MAOA/HPRT1/SLC1A1/ALDH2/CDH3/SRD5A1/ZEB2/GPR37/SLC7A11/EDNRA/NR4A2",15
"GO:0045444","fat cell differentiation","24/655","259/18860",0.0926640926640927,2.66815998113708,5.12748115183647,1.30910317265901e-05,0.000314184761438162,0.000221267964822365,"GRK5/FABP4/ADIRF/LPL/GATA2/KLF4/ADRB2/ZBTB16/WIF1/ID4/SMAD6/GDF10/FERMT2/MMP11/WWTR1/ALOX5/BMP2/CEBPD/ZFP36/ADGRF5/NR4A1/NR4A3/NR4A2/IL6",24
"GO:0098869","cellular oxidant detoxification","13/655","90/18860",0.144444444444444,4.15911789652248,5.69822496164149,1.33478033920471e-05,0.000318829047847949,0.000224538752995673,"CD36/DUOX1/CAT/GPX3/SESN1/FBLN5/HBB/HBA1/HBA2/PRDX4/CP/NQO1/ALOX5AP",13
"GO:0010639","negative regulation of organelle organization","30/655","367/18860",0.0817438692098093,2.35372423404123,4.9675722177226,1.38722762882577e-05,0.000329395759323134,0.000231980472104763,"CDH5/S1PR1/SLIT2/ARHGAP6/FEZ1/SPTBN1/KANK3/DLC1/KANK2/LMOD1/GMFG/PIK3R1/H3-3B/CLU/ZWINT/CDC20/CCNB1/CENPF/TPX2/MAD2L1/KAT2B/BIRC5/RPS6KA2/BUB1B/BUB1/TTK/DUSP1/NDC80/TRIP13/GCLC",30
"GO:0035296","regulation of tube diameter","18/655","162/18860",0.111111111111111,3.19932145886344,5.33252966156731,1.39862485109426e-05,0.000329395759323134,0.000231980472104763,"EDNRB/NPR1/PECAM1/AGTR1/CAV1/SVEP1/KLF2/DOCK4/ADRB2/HBB/SLC6A4/KAT2B/AGTR2/F2RL1/EDN1/COMP/GCLC/EDNRA",18
"GO:0097746","blood vessel diameter maintenance","18/655","162/18860",0.111111111111111,3.19932145886344,5.33252966156731,1.39862485109426e-05,0.000329395759323134,0.000231980472104763,"EDNRB/NPR1/PECAM1/AGTR1/CAV1/SVEP1/KLF2/DOCK4/ADRB2/HBB/SLC6A4/KAT2B/AGTR2/F2RL1/EDN1/COMP/GCLC/EDNRA",18
"GO:0070371","ERK1 and ERK2 cascade","28/655","331/18860",0.0845921450151057,2.43573718318304,4.99859088455077,1.42923424944412e-05,0.000333574794825885,0.000234923602371112,"CD36/AGER/TEK/FGFR4/RAMP3/MIF/ARRB1/ANGPT1/KLF4/GAS6/FERMT2/FBLN1/TPBG/MARCO/RRAS/FGFR2/SEMA6A/CDK1/PTGER4/C5AR1/BMP2/F2RL1/CEACAM1/EDN1/DUSP1/CHI3L1/ATF3/CCN2",28
"GO:0046622","positive regulation of organ growth","10/655","54/18860",0.185185185185185,5.33220243143907,6.04702890300137,1.43311043941305e-05,0.000333574794825885,0.000234923602371112,"TGFBR3/ACACB/TBX2/GATA6/CACNA2D2/HLX/FGFR2/CCNB1/CDK1/EDN1",10
"GO:1905954","positive regulation of lipid localization","14/655","104/18860",0.134615384615385,3.8761009982384,5.57872982238433,1.43622481105589e-05,0.000333574794825885,0.000234923602371112,"CD36/SPP1/ABCA8/CAV1/ACACB/MIF/LPL/ABCA3/CES1/PTCH1/MSR1/EDN1/ABCG1/PLA2G4A",14
"GO:0035150","regulation of tube size","18/655","163/18860",0.110429447852761,3.17969371985201,5.30136796861325,1.52238206024401e-05,0.00035196336937334,0.000247873951864432,"EDNRB/NPR1/PECAM1/AGTR1/CAV1/SVEP1/KLF2/DOCK4/ADRB2/HBB/SLC6A4/KAT2B/AGTR2/F2RL1/EDN1/COMP/GCLC/EDNRA",18
"GO:0072224","metanephric glomerulus development","6/655","17/18860",0.352941176470588,10.1625505163898,7.16886591190312,1.52936464072939e-05,0.00035196336937334,0.000247873951864432,"TCF21/CD34/AGTR2/LGR4/AQP1/EGR1",6
"GO:0006898","receptor-mediated endocytosis","25/655","279/18860",0.0896057347670251,2.58009795069633,5.04354858063569,1.54952757282917e-05,0.000354982680320865,0.000250000333759807,"CD36/RAMP2/CAV1/LYVE1/ENTREP1/RAMP3/CAV2/ARRB1/ANGPT1/ADRB2/GHR/GREM1/SNX1/NEDD4L/SFTPD/MARCO/CALCRL/CLU/LDLR/EFNB2/MRC1/MSR1/CEACAM1/FOLR1/DMBT1",25
"GO:0042744","hydrogen peroxide catabolic process","7/655","25/18860",0.28,8.06229007633588,6.70219998497434,1.64255952348251e-05,0.000374592760106418,0.000263810941328079,"DUOX1/CAT/GPX3/HBB/HBA1/HBA2/PRDX4",7
"GO:0003012","muscle system process","36/655","485/18860",0.0742268041237113,2.13727866530259,4.81292092225277,1.67594062865873e-05,0.000380229379518982,0.000267780590588556,"EDNRB/CAV1/ACACB/FXYD1/TBX2/TNNC1/CRYAB/SYNM/ARRB1/DOCK4/GATA6/TBX3/SULF1/KLF4/ADRB2/ENO1/MYH11/MEIS1/LMOD1/NEDD4L/DES/LMCD1/ATP2A2/NPR3/MYLK/MYL9/DSG2/CNN1/EDN1/EZH2/DMD/DSP/COMP/NR4A3/NMU/EDNRA",36
"GO:0045927","positive regulation of growth","24/655","263/18860",0.091254752851711,2.62757960119583,5.04177320039498,1.68948243127503e-05,0.000380229379518982,0.000267780590588556,"TGFBR3/ACACB/TBX2/SEMA5A/MACF1/WFS1/GATA6/GHR/TRPV2/HYAL1/NEDD4L/CACNA2D2/CAPN3/H3-3B/HLX/HBEGF/FGFR2/CCNB1/CDK1/CRABP2/CXCL12/EDN1/SFN/AGR2",24
"GO:0051983","regulation of chromosome segregation","16/655","134/18860",0.119402985074627,3.43807679161445,5.37232043693714,1.6899083534177e-05,0.000380229379518982,0.000267780590588556,"ZWINT/CDC20/CCNB1/CENPF/CDK1/MAD2L1/KAT2B/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",16
